Sample,Time (s),Intensity (lux),Neglected
1,0,0,
2,0.03,0,
3,0.07,0,
4,0.1,0,
5,0.13,0,
6,0.17,0,
7,0.2,0,
8,0.23,0,
9,0.27,0,
10,0.3,0,
11,0.33,0,
12,0.37,0,
13,0.4,0,
14,0.43,0,
15,0.47,0,
16,0.5,0,
17,0.53,0,
18,0.57,0,
19,0.6,0,
20,0.63,0,
21,0.67,0,
22,0.7,0,
23,0.73,0,
24,0.77,0,
25,0.8,0,
26,0.83,0,
27,0.87,0,
28,0.9,0,
29,0.93,0,
30,0.97,0,
31,1,0,
32,1.03,0,
33,1.07,0,
34,1.1,0,
35,1.13,0,
36,1.17,0,
37,1.2,0,
38,1.23,0,
39,1.27,0,
40,1.3,0,
41,1.33,0,
42,1.37,0,
43,1.4,0,
44,1.43,0,
45,1.47,0,
46,1.5,0,
47,1.53,0,
48,1.57,0,
49,1.6,0,
50,1.63,0,
51,1.67,0,
52,1.7,0,
53,1.73,0,
54,1.77,0,
55,1.8,0,
56,1.83,0,
57,1.87,0,
58,1.9,0,
