Sample,Time (s),Distance,Velocity,Acceleration,Neglected
1,0,150.2,0,0,
2,0.03,150.2,0,0,
3,0.07,152.02,27.92,13.53,
4,0.1,150.72,3.68,-11.25,
5,0.13,150.61,1.29,-14.67,
6,0.17,150.79,1.93,-11.98,
7,0.2,151.27,4.69,-2.91,
8,0.23,152.06,9.21,11.77,
9,0.27,152.12,7.7,5.44,
10,0.3,151.93,4.67,-5.2,
11,0.33,149.67,-12.82,-61.62,
12,0.37,149.48,-12.86,-55.16,
13,0.4,150.12,-7.03,-32.12,
14,0.43,149.06,-13.67,-48.15,
15,0.47,148.04,-18.89,-57.95,
16,0.5,147.96,-17.07,-48.24,
17,0.53,151.97,10.29,23.35,
18,0.57,154.45,24.27,54.33,
19,0.6,154.65,22.32,45.94,
20,0.63,150.65,-3.47,-12.37,
21,0.67,152.18,5.51,6.78,
22,0.7,152.4,5.92,7.12,
23,0.73,152.41,5.19,5.33,
24,0.77,149.16,-12.52,-26.6,
25,0.8,151.3,-0.64,-4.73,
26,0.83,151.48,0.19,-3.12,
27,0.87,151.41,-0.32,-3.75,
28,0.9,151.77,1.29,-1.11,
29,0.93,151.43,-0.46,-3.63,
30,0.97,151.4,-0.64,-3.7,
31,1,151.12,-1.86,-5.21,
33,1.07,148.15,-19.43,-27.43,
34,1.1,147.96,-18.7,-25.34,
35,1.13,148.6,-15.28,-20.06,
36,1.17,146.25,-22.26,-27.62,
37,1.2,146.05,-21.27,-25.41,
38,1.23,149.84,-6.76,-8.16,
39,1.27,152.47,2.99,2.76,
40,1.3,149.73,-6.61,-7.48,
41,1.33,149.5,-6.88,-7.5,
42,1.37,150.22,-3.81,-4.19,
43,1.4,151.3,0.11,-0.25,
44,1.43,151.39,0.39,0.02,
45,1.47,153.9,8.86,7.8,
46,1.5,150.96,-1.53,-1.75,
47,1.53,155.34,12.88,10.91,
48,1.57,155.71,12.99,10.69,
49,1.6,151.94,-0.17,-0.58,
50,1.63,153.47,4.73,3.42,
51,1.67,153.6,4.73,3.33,
52,1.7,149.64,-8.12,-6.79,
53,1.73,150.78,-3.92,-3.4,
54,1.77,150.33,-5.06,-4.17,
55,1.8,150.29,-4.79,-3.87,
56,1.83,151.03,-2.18,-1.9,
57,1.87,150.53,-3.54,-2.81,
58,1.9,150.49,-3.4,-2.65,
59,1.93,151.05,-1.49,-1.29,
60,1.97,150.54,-2.93,-2.22,
61,2,151.97,1.53,0.77,
62,2.03,152.09,1.76,0.9,
63,2.07,150.72,-2.5,-1.85,
64,2.1,149.12,-6.95,-4.61,
65,2.13,148.99,-6.81,-4.43,
66,2.17,149.91,-3.59,-2.36,
