Sample,Time (s),Distance,Velocity,Acceleration,Kinetic Energy (J),Potential Energy (J),Total Energy (J),Neglected
1,0,149.5,0,0,0,0,0,
2,0.03,148.6,-0.3,-0.05,0,0,0,
3,0.07,156.16,115.79,56.77,0,0,0,
4,0.1,156.68,80.17,19.73,0,0,0,
5,0.13,151.96,12.52,-94.59,0,0,0,
6,0.17,151.65,4.03,-107.2,0,0,0,
7,0.2,151.33,-2.44,-115.6,0,0,0,
8,0.23,151.29,-5.52,-112.88,0,0,0,
9,0.27,148.48,-27.85,-174.46,0,0,0,
10,0.3,148.81,-23.92,-142.26,0,0,0,
11,0.33,148.84,-21.98,-120.25,0,0,0,
12,0.37,150.43,-9.02,-66.99,0,0,0,
13,0.4,150.94,-5.36,-49.28,0,0,0,
14,0.43,149.58,-15.06,-72.31,0,0,0,
15,0.47,149.47,-14.6,-64.54,0,0,0,
16,0.5,150.21,-8.58,-43.32,0,0,0,
17,0.53,146.07,-34.62,-104.04,0,0,0,
18,0.57,145.74,-32.77,-91.6,0,0,0,
19,0.6,149.82,-4.92,-22.36,0,0,0,
20,0.63,152.03,8.32,7.54,0,0,0,
21,0.67,150.62,-0.79,-11.55,0,0,0,
22,0.7,150.51,-1.63,-12.46,0,0,0,
23,0.73,153.2,12.7,15.05,0,0,0,
24,0.77,152.95,9.77,8.92,0,0,0,
25,0.8,149.77,-7.35,-20.95,0,0,0,
26,0.83,149.5,-8.08,-20.98,0,0,0,
27,0.87,149.94,-5.38,-15.6,0,0,0,
28,0.9,147.38,-16.79,-32.23,0,0,0,
29,0.93,147.17,-16.16,-29.68,0,0,0,
30,0.97,149.94,-2.6,-9.08,0,0,0,
31,1,149.99,-2.31,-8.27,0,0,0,
32,1.03,152.04,6.53,3.8,0,0,0,
33,1.07,152.2,6.46,3.54,0,0,0,
34,1.1,152.12,5.38,2.07,0,0,0,
35,1.13,149.8,-4.7,-10.12,0,0,0,
36,1.17,149.6,-5.16,-10.27,0,0,0,
37,1.2,147.18,-14.08,-19.98,0,0,0,
38,1.23,149.29,-4.75,-8.99,0,0,0,
39,1.27,150.68,0.66,-2.89,0,0,0,
40,1.3,150.79,0.91,-2.53,0,0,0,
41,1.33,150.71,0.41,-2.95,0,0,0,
42,1.37,153.85,11.38,7.96,0,0,0,
43,1.4,154.11,11.23,7.55,0,0,0,
44,1.43,152.46,4.31,0.84,0,0,0,
45,1.47,153.99,9.05,5.15,0,0,0,
46,1.5,152.26,2.4,-0.94,0,0,0,
47,1.53,152.12,1.6,-1.61,0,0,0,
48,1.57,152.85,3.77,0.28,0,0,0,
