Sample,Time (s),Distance,Velocity,Acceleration,Neglected
1,0,47.7,0,0,
2,0.05,48.1,0.2,0.05,
3,0.1,47.81,-4.11,-2.99,
4,0.15,47.79,-2.38,0.25,
5,0.2,47.79,-1.37,3.1,
6,0.25,47.99,0.81,10.12,
7,0.3,47.81,-0.45,3.78,
8,0.35,48.08,1.96,11.48,
9,0.4,48.01,1.15,6.99,
10,0.45,48.1,1.66,7.46,
11,0.5,48.11,1.44,5.84,
12,0.55,48.1,1.22,4.52,
13,0.6,47.63,-1.86,-3.31,
14,0.65,47.6,-1.68,-2.55,
15,0.7,47.69,-0.81,-0.51,
16,0.75,47.88,0.42,1.89,
17,0.8,48.09,1.43,3.52,
18,0.85,47.92,0.41,1.51,
19,0.9,48.18,1.62,3.31,
20,0.95,47.92,0.24,1,
21,1,47.81,-0.26,0.22,
22,1.05,47.8,-0.24,0.24,
23,1.1,48.08,0.95,1.74,
24,1.15,48.01,0.57,1.17,
25,1.2,48.19,1.2,1.84,
26,1.25,47.92,0.07,0.48,
27,1.3,47.9,0,0.38,
29,1.4,47.9,0.02,0.36,
30,1.45,47.99,0.3,0.62,
31,1.5,47.91,0.05,0.35,
32,1.55,47.72,-0.5,-0.17,
33,1.6,47.61,-0.75,-0.38,
34,1.65,48.25,1.23,1.31,
35,1.7,47.84,-0.11,0.17,
36,1.75,48.08,0.64,0.75,
37,1.8,47.92,0.09,0.3,
38,1.85,47.9,0.05,0.26,
39,1.9,48.18,0.87,0.84,
40,1.95,47.92,0.04,0.23,
41,2,47.62,-0.83,-0.36,
42,2.05,47.6,-0.8,-0.33,
43,2.1,47.78,-0.17,0.08,
44,2.15,47.71,-0.36,-0.04,
45,2.2,47.79,-0.07,0.14,
46,2.25,47.98,0.49,0.47,
47,2.3,47.82,-0.03,0.15,
48,2.35,47.89,0.2,0.28,
49,2.4,48.18,0.97,0.7,
50,2.45,48.11,0.68,0.52,
51,2.5,47.82,-0.16,0.05,
52,2.55,47.43,-1.21,-0.51,
53,2.6,47.77,-0.16,0.06,
54,2.65,47.89,0.19,0.24,
55,2.7,47.71,-0.29,-0.01,
56,2.75,47.98,0.45,0.36,
57,2.8,47.91,0.22,0.24,
58,2.85,47.9,0.18,0.21,
59,2.9,47.99,0.41,0.32,
60,2.95,48,0.39,0.3,
62,3.05,48.48,2.06,1.09,
63,3.1,47.49,-0.34,-0.13,
64,3.15,47.68,0.13,0.1,
65,3.2,47.79,0.36,0.21,
66,3.25,48.45,1.87,0.92,
67,3.3,47.86,0.27,0.15,
68,3.35,47.71,-0.1,-0.02,
69,3.4,47.98,0.56,0.28,
70,3.45,47.72,-0.13,-0.03,
71,3.5,47.7,-0.17,-0.05,
72,3.55,48.16,1.01,0.46,
73,3.6,47.83,0.07,0.05,
74,3.65,48.08,0.69,0.31,
75,3.7,47.82,-0.03,0,
76,3.75,47.8,-0.08,-0.02,
77,3.8,47.61,-0.54,-0.21,
78,3.85,47.97,0.41,0.19,
79,3.9,47.91,0.21,0.1,
80,3.95,47.53,-0.76,-0.3,
81,4,47.68,-0.29,-0.1,
82,4.05,47.51,-0.69,-0.26,
83,4.1,47.96,0.51,0.23,
84,4.15,48,0.55,0.24,
85,4.2,48.09,0.74,0.31,
86,4.25,47.92,0.21,0.09,
87,4.3,47.9,0.15,0.07,
88,4.35,48.18,0.83,0.33,
89,4.4,48.29,1.03,0.41,
90,4.45,48.12,0.48,0.18,
91,4.5,47.64,-0.77,-0.31,
92,4.55,47.6,-0.79,-0.31,
93,4.6,47.5,-0.94,-0.37,
94,4.65,47.59,-0.63,-0.24,
95,4.7,47.41,-1.01,-0.38,
96,4.75,47.3,-1.17,-0.43,
97,4.8,47.67,-0.14,-0.03,
98,4.85,47.79,0.19,0.1,
99,4.9,47.52,-0.5,-0.17,
100,4.95,47.04,-1.66,-0.61,
101,5,47.37,-0.65,-0.21,
102,5.05,47.58,-0.05,0.02,
103,5.1,47.6,0,0.04,
104,5.15,47.79,0.47,0.22,
105,5.2,47.43,-0.46,-0.14,
106,5.25,47.12,-1.18,-0.41,
107,5.3,47.38,-0.42,-0.11,
108,5.35,47.67,0.37,0.19,
109,5.4,47.79,0.63,0.28,
110,5.45,48.08,1.28,0.53,
111,5.5,47.64,0.05,0.05,
112,5.55,47.42,-0.51,-0.16,
113,5.6,47.77,0.42,0.19,
114,5.65,47.34,-0.7,-0.24,
115,5.7,47.76,0.44,0.2,
116,5.75,47.89,0.71,0.3,
117,5.8,47.44,-0.49,-0.16,
118,5.85,47.49,-0.3,-0.09,
119,5.9,47.78,0.44,0.19,
120,5.95,47.8,0.45,0.2,
121,6,47.52,-0.28,-0.09,
122,6.05,47.59,-0.08,-0.01,
123,6.1,47.41,-0.51,-0.17,
124,6.15,47.58,-0.04,0.01,
125,6.2,47.41,-0.45,-0.15,
126,6.25,47.4,-0.44,-0.14,
127,6.3,47.58,0.07,0.06,
128,6.35,47.78,0.56,0.24,
129,6.4,47.52,-0.15,-0.03,
130,6.45,47.59,0.04,0.04,
131,6.5,47.69,0.29,0.13,
132,6.55,47.89,0.74,0.3,
133,6.6,47.53,-0.22,-0.07,
134,6.65,47.78,0.42,0.18,
135,6.7,47.89,0.66,0.26,
136,6.75,47.44,-0.54,-0.19,
137,6.8,47.96,0.8,0.32,
138,6.85,48.09,1.06,0.4,
139,6.9,47.55,-0.41,-0.15,
140,6.95,47.59,-0.25,-0.09,
141,7,48.06,0.94,0.36,
142,7.05,47.64,-0.21,-0.08,
143,7.1,47.6,-0.28,-0.11,
144,7.15,47.51,-0.49,-0.18,
145,7.2,47.5,-0.45,-0.17,
146,7.25,47.22,-1.1,-0.4,
147,7.3,47.57,-0.12,-0.03,
148,7.35,47.6,-0.03,0,
149,7.4,47.69,0.21,0.09,
150,7.45,47.61,-0.02,0.01,
151,7.5,47.69,0.19,0.09,
152,7.55,48.26,1.57,0.6,
153,7.6,47.47,-0.55,-0.2,
154,7.65,47.59,-0.19,-0.07,
155,7.7,47.51,-0.38,-0.14,
156,7.75,47.68,0.1,0.05,
157,7.8,47.51,-0.33,-0.11,
158,7.85,47.59,-0.1,-0.03,
159,7.9,47.6,-0.07,-0.02,
160,7.95,47.6,-0.06,-0.01,
161,8,47.79,0.4,0.16,
162,8.05,47.71,0.17,0.07,
163,8.1,47.79,0.37,0.14,
164,8.15,47.52,-0.34,-0.12,
165,8.2,47.41,-0.59,-0.22,
166,8.25,47.68,0.14,0.06,
167,8.3,47.79,0.41,0.16,
168,8.35,47.71,0.16,0.07,
169,8.4,47.42,-0.56,-0.21,
170,8.45,47.49,-0.33,-0.12,
171,8.5,47.41,-0.51,-0.18,
172,8.55,47.21,-0.93,-0.33,
173,8.6,47.29,-0.64,-0.22,
174,8.65,47.3,-0.56,-0.18,
175,8.7,47.58,0.19,0.1,
176,8.75,47.6,0.23,0.11,
177,8.8,47.51,-0.02,0.02,
178,8.85,47.41,-0.26,-0.07,
179,8.9,47.49,-0.02,0.02,
180,8.95,47.78,0.69,0.28,
181,9,47.52,-0.02,0.01,
182,9.05,47.87,0.85,0.34,
183,9.1,47.99,1.06,0.41,
184,9.15,47.36,-0.63,-0.23,
185,9.2,47.58,-0.01,0.01,
186,9.25,47.78,0.5,0.2,
187,9.3,47.43,-0.43,-0.15,
188,9.35,47.68,0.23,0.1,
189,9.4,47.7,0.26,0.1,
190,9.45,47.7,0.24,0.09,
191,9.5,47.98,0.9,0.34,
192,9.55,47.72,0.17,0.06,
193,9.6,47.98,0.79,0.29,
194,9.65,47.54,-0.39,-0.16,
195,9.7,47.41,-0.67,-0.26,
196,9.75,47.4,-0.63,-0.24,
197,9.8,47.58,-0.1,-0.04,
198,9.85,47.6,-0.05,-0.02,
199,9.9,47.6,-0.04,-0.01,
200,9.95,47.32,-0.73,-0.27,
