Sample,Time (s),Distance,Velocity,Acceleration,Neglected
1,0,70.1,0,0,
2,0.05,69.2,-0.44,-0.11,
3,0.1,69.98,10.98,7.94,
4,0.15,69.64,2.64,-7.14,
5,0.2,69.23,-2.13,-19.73,
6,0.25,68.91,-4.59,-24.85,
7,0.3,69.45,0.44,-2.25,
8,0.35,69.4,-0.21,-4.1,
9,0.4,69.97,3.9,9.92,
10,0.45,69.44,-0.84,-5.82,
11,0.5,69.97,2.77,5,
12,0.55,69.72,0.52,-1.41,
13,0.6,69.7,0.17,-2.07,
14,0.65,69.61,-0.53,-3.37,
15,0.7,69.5,-1.1,-4.18,
16,0.75,69.97,1.45,1.08,
17,0.8,69.82,0.37,-0.95,
18,0.85,69.8,0.18,-1.2,
19,0.9,69.52,-1.23,-3.33,
20,0.95,69.78,0.05,-1.17,
21,1,69.14,-2.75,-5.04,
22,1.05,69.84,0.51,-0.33,
23,1.1,69.62,-0.51,-1.61,
24,1.15,69.6,-0.55,-1.57,
25,1.2,69.04,-2.67,-3.93,
26,1.25,70.11,1.66,1.09,
27,1.3,69.55,-0.65,-1.42,
28,1.35,70.15,1.56,0.91,
29,1.4,69.92,0.53,-0.15,
30,1.45,69.53,-0.91,-1.5,
31,1.5,69.59,-0.62,-1.17,
32,1.55,69.69,-0.25,-0.79,
33,1.6,69.61,-0.52,-0.99,
34,1.65,69.51,-0.8,-1.18,
35,1.7,69.96,0.71,0.07,
36,1.75,69.26,-1.59,-1.71,
37,1.8,69.29,-1.32,-1.44,
38,1.85,69.94,0.8,0.16,
39,1.9,69.35,-1.1,-1.2,
40,1.95,69.49,-0.59,-0.8,
41,2,69.68,0.04,-0.35,
42,2.05,69.51,-0.48,-0.68,
43,2.1,69.31,-1.02,-1,
44,2.15,69.48,-0.43,-0.6,
45,2.2,68.85,-2.2,-1.68,
46,2.25,69.54,-0.02,-0.31,
47,2.3,70.06,1.43,0.56,
48,2.35,69.36,-0.69,-0.69,
49,2.4,69.12,-1.3,-1.02,
50,2.45,69.1,-1.23,-0.95,
51,2.5,69.65,0.42,-0.02,
52,2.55,69.98,1.24,0.43,
53,2.6,69.26,-0.84,-0.69,
54,2.65,69.39,-0.42,-0.45,
55,2.7,69.3,-0.61,-0.54,
56,2.75,69.58,0.18,-0.12,
57,2.8,69.88,0.95,0.27,
58,2.85,69.53,-0.08,-0.25,
59,2.9,69.5,-0.16,-0.28,
60,2.95,69.41,-0.4,-0.39,
61,3,69.31,-0.63,-0.5,
62,3.05,69.21,-0.84,-0.58,
63,3.1,69.66,0.43,0.03,
64,3.15,69.79,0.72,0.16,
65,3.2,69.34,-0.54,-0.42,
66,3.25,69.58,0.13,-0.11,
67,3.3,69.51,-0.08,-0.2,
68,3.35,69.41,-0.33,-0.31,
70,3.45,69.59,0.43,0.06,
71,3.5,69.6,0.42,0.05,
72,3.55,69.88,0.98,0.31,
73,3.6,70.36,1.98,0.76,
74,3.65,69.2,-0.9,-0.56,
75,3.7,69.47,-0.18,-0.22,
76,3.75,69.31,-0.56,-0.39,
77,3.8,69.48,-0.09,-0.17,
78,3.85,68.85,-1.64,-0.84,
79,3.9,68.98,-1.15,-0.61,
80,3.95,69.92,1.29,0.43,
81,4,69.72,0.65,0.15,
82,4.05,70.07,1.46,0.49,
83,4.1,68.62,-2.33,-1.08,
84,4.15,69.43,-0.08,-0.14,
85,4.2,69.77,0.79,0.22,
86,4.25,69.34,-0.39,-0.26,
87,4.3,69.58,0.26,0,
88,4.35,69.69,0.51,0.1,
89,4.4,69.42,-0.23,-0.19,
90,4.45,69.77,0.67,0.16,
91,4.5,69.62,0.2,-0.03,
92,4.55,69.88,0.84,0.23,
93,4.6,69.35,-0.6,-0.34,
94,4.65,70.04,1.21,0.37,
95,4.7,69.82,0.52,0.1,
97,4.8,70.09,1.3,0.4,
98,4.85,69.55,0.02,-0.14,
99,4.9,69.87,0.7,0.15,
100,4.95,69.81,0.49,0.06,
101,5,70.36,1.67,0.54,
102,5.05,69.76,0.12,-0.1,
103,5.1,70.26,1.28,0.37,
104,5.15,70.21,1.03,0.26,
105,5.2,70.57,1.79,0.55,
106,5.25,70.23,0.78,0.15,
107,5.3,70.02,0.17,-0.09,
108,5.35,70.28,0.78,0.15,
109,5.4,70.39,0.97,0.22,
110,5.45,69.94,-0.26,-0.26,
111,5.5,69.72,-0.79,-0.45,
112,5.55,70.16,0.39,0,
113,5.6,70.57,1.35,0.36,
114,5.65,70.42,0.82,0.16,
115,5.7,70.68,1.38,0.37,
116,5.75,70.8,1.51,0.41,
117,5.8,71.08,2.05,0.6,
118,5.85,71.11,1.89,0.53,
120,5.95,71.11,1.27,0.27,
121,6,70.92,0.74,0.05,
122,6.05,71.18,1.21,0.24,
123,6.1,71.67,2.15,0.61,
124,6.15,71.06,0.58,-0.02,
125,6.2,71.1,0.6,-0.01,
126,6.25,71.01,0.32,-0.12,
127,6.3,70.91,0.04,-0.22,
128,6.35,70.62,-0.65,-0.49,
129,6.4,70.6,-0.66,-0.48,
130,6.45,70.23,-1.5,-0.79,
131,6.5,70.66,-0.3,-0.32,
132,6.55,70.7,-0.19,-0.27,
133,6.6,70.79,0.05,-0.18,
134,6.65,70.61,-0.4,-0.34,
135,6.7,70.41,-0.86,-0.51,
136,6.75,70.31,-1.04,-0.57,
137,6.8,70.2,-1.19,-0.61,
138,6.85,70.66,0.05,-0.14,
139,6.9,69.68,-2.38,-1.04,
140,6.95,70.43,-0.28,-0.24,
141,7,70.59,0.13,-0.09,
142,7.05,70.6,0.14,-0.08,
143,7.1,70.51,-0.11,-0.17,
144,7.15,70.78,0.57,0.08,
145,7.2,70.52,-0.13,-0.18,
146,7.25,70.41,-0.41,-0.28,
147,7.3,70.12,-1.08,-0.52,
148,7.35,70.56,0.12,-0.07,
149,7.4,70.78,0.65,0.13,
150,7.45,70.52,-0.07,-0.14,
151,7.5,70.32,-0.58,-0.32,
152,7.55,69.93,-1.48,-0.65,
153,7.6,70.08,-0.95,-0.44,
154,7.65,70.47,0.1,-0.05,
155,7.7,69.85,-1.44,-0.61,
156,7.75,70.54,0.41,0.08,
157,7.8,70.5,0.28,0.03,
158,7.85,69.85,-1.36,-0.58,
159,7.9,70.26,-0.21,-0.14,
160,7.95,70.11,-0.56,-0.27,
161,8,70.84,1.3,0.42,
162,8.05,70.44,0.16,0,
163,8.1,69.66,-1.78,-0.72,
164,8.15,70.25,-0.15,-0.1,
165,8.2,69.83,-1.16,-0.48,
166,8.25,70.08,-0.43,-0.2,
167,8.3,70.37,0.35,0.09,
168,8.35,70.21,-0.09,-0.07,
169,8.4,70.48,0.58,0.18,
170,8.45,70.41,0.34,0.09,
171,8.5,70.4,0.28,0.07,
172,8.55,70.4,0.25,0.05,
174,8.65,70.78,1.52,0.54,
175,8.7,70.43,0.65,0.17,
176,8.75,71.24,2.28,0.82,
177,8.8,70.29,0,-0.09,
178,8.85,69.93,-0.8,-0.41,
179,8.9,70.27,0.05,-0.07,
180,8.95,70.3,0.11,-0.05,
181,9,70.3,0.1,-0.05,
182,9.05,70.58,0.75,0.2,
183,9.1,70.51,0.5,0.1,
184,9.15,70.32,-0.02,-0.1,
185,9.2,69.56,-1.86,-0.79,
186,9.25,69.78,-1.15,-0.5,
187,9.3,70.26,0.15,-0.01,
188,9.35,70.11,-0.22,-0.15,
189,9.4,69.73,-1.14,-0.49,
190,9.45,70.53,0.95,0.3,
191,9.5,70.14,-0.13,-0.11,
192,9.55,70.19,0.03,-0.05,
193,9.6,70.01,-0.42,-0.21,
194,9.65,70.65,1.18,0.38,
195,9.7,69.96,-0.65,-0.3,
196,9.75,70.18,-0.04,-0.07,
197,9.8,70.29,0.24,0.04,
198,9.85,70.21,0.01,-0.05,
199,9.9,69.92,-0.7,-0.31,
200,9.95,70.18,0,-0.05,
